@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1262,'2020/10/13 09:04:46:996',4,396,153,2
1263,'2020/10/13 09:04:47:030',4,369,170,2
1264,'2020/10/13 09:04:47:063',4,342,182,2
1265,'2020/10/13 09:04:47:097',4,326,182,2
1266,'2020/10/13 09:04:47:130',4,313,180,2
1267,'2020/10/13 09:04:47:163',4,304,177,2
1268,'2020/10/13 09:04:47:197',4,291,173,2
1269,'2020/10/13 09:04:47:231',4,284,170,2
1270,'2020/10/13 09:04:47:263',4,281,165,2
1271,'2020/10/13 09:04:47:297',4,285,157,2
1272,'2020/10/13 09:04:47:330',4,310,140,2
1273,'2020/10/13 09:04:47:364',4,331,127,2
